"filename", "language", "C++", "CMake", "YAML", "JSON", "Markdown", "Swift", "Dart", "HTML", "XML", "Properties", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\routes\users.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 8, 35
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\images\BODLOGOFORICON.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\images\Bod-logo(512x512)-White.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\EditProfile.dart", "Dart", 0, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 69, 24, 385
