Date : 2025-12-18 12:59:06
Directory : c:\Users\ZETTA\Desktop\nzaKishFinala
Total : 152 files,  28703 codes, 2172 comments, 2274 blanks, all 33149 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\flutter\generated_plugins.cmake                            | CMake            |         20 |          0 |          6 |         26 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\CMakeLists.txt                                      | CMake            |         34 |          0 |          7 |         41 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\flutter_window.cpp                                  | C++              |         49 |          7 |         16 |         72 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\flutter_window.h                                    | C++              |         20 |          5 |          9 |         34 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\main.cpp                                            | C++              |         30 |          4 |         10 |         44 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\resource.h                                          | C++              |          9 |          6 |          2 |         17 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\utils.cpp                                           | C++              |         54 |          2 |         10 |         66 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\utils.h                                             | C++              |          8 |          6 |          6 |         20 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\win32_window.cpp                                    | C++              |        210 |         24 |         55 |        289 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\win32_window.h                                      | C++              |         48 |         31 |         24 |        103 |
| Total                                                                                                   |                  |     28,703 |      2,172 |      2,274 |     33,149 |
+---------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
